Date;Venue;Run;Gate;ref_time;athlete_name_ref;athlete_2_time;athlete_name_athlete_2;time_difference;relative_time_difference
2024-03-17;Saalbach;2;35;1.633;GINNIS AJ;1.6;AERNI Luca;0.03299999999999992;2.020820575627674
2024-03-17;Saalbach;1;36;0.866;HAUGAN Timon;0.966;MEILLARD Loic;-0.09999999999999998;-11.547344110854501
2024-03-17;Saalbach;2;36;1.233;GINNIS AJ;1.233;AERNI Luca;0.0;0.0
2024-03-17;Saalbach;1;37;0.866;HAUGAN Timon;0.866;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;37;0.766;GINNIS AJ;0.7;AERNI Luca;0.06600000000000006;8.616187989556142
2024-03-17;Saalbach;1;38;0.833;HAUGAN Timon;0.833;MEILLARD Loic;0.0;0.0
2024-03-17;Saalbach;2;38;0.6;GINNIS AJ;0.6;AERNI Luca;0.0;0.0
2024-03-17;Saalbach;1;39;0.766;HAUGAN Timon;0.733;MEILLARD Loic;0.03300000000000003;4.308093994778071
2024-03-17;Saalbach;2;39;0.7;GINNIS AJ;0.666;AERNI Luca;0.03399999999999992;4.857142857142846
2024-03-17;Saalbach;1;40;0.466;HAUGAN Timon;0.433;MEILLARD Loic;0.03300000000000003;7.081545064377688
2024-03-17;Saalbach;2;40;1.4;GINNIS AJ;1.6;AERNI Luca;-0.20000000000000018;-14.285714285714299
2024-03-17;Saalbach;1;41;0.7;HAUGAN Timon;0.733;MEILLARD Loic;-0.03300000000000003;-4.714285714285719
2024-03-17;Saalbach;2;41;0.666;GINNIS AJ;1.1;AERNI Luca;-0.43400000000000005;-65.16516516516518
2024-03-17;Saalbach;1;42;0.7;HAUGAN Timon;0.733;MEILLARD Loic;-0.03300000000000003;-4.714285714285719
2024-03-17;Saalbach;2;42;1.233;GINNIS AJ;0.9;AERNI Luca;0.3330000000000001;27.007299270073
2024-03-17;Saalbach;1;43;0.8;HAUGAN Timon;0.733;MEILLARD Loic;0.06700000000000006;8.375000000000007
2024-03-17;Saalbach;2;43;0.766;GINNIS AJ;0.8;AERNI Luca;-0.03400000000000003;-4.4386422976501345
2024-03-17;Saalbach;1;44;0.666;HAUGAN Timon;0.7;MEILLARD Loic;-0.03399999999999992;-5.105105105105093
2024-03-17;Saalbach;2;44;0.866;GINNIS AJ;0.966;AERNI Luca;-0.09999999999999998;-11.547344110854501
2024-03-17;Saalbach;1;45;0.8;HAUGAN Timon;0.766;MEILLARD Loic;0.03400000000000003;4.2500000000000036
