Date;Venue;Run;Gate;ref_time;athlete_name_ref;athlete_2_time;athlete_name_athlete_2;time_difference;relative_time_difference;Discipline;Race (R) or Training (TR);Gate-Gate Distance (m);Turning Angle [°];Offset [m];Steepness [°];Slope change [°];Vertical Distance [m];Altitude (m);Latitude (°);Longitude (°);Gender
2024-01-07;Adelboden;1;35;0.92;STEEN OLSEN Alexander;0.86;ZENHAEUSERN Ramon;0.06000000000000005;6.521739130434788;SL;R;10.07;28.63;2.46;-7.13;;;;;;M
2024-01-07;Adelboden;2;35;0.84;RASCHNER Dominik;0.82;MEILLARD Loic;0.020000000000000018;2.380952380952383;SL;R;12.3;44.3;4.5;-14.2;5.1;11.4;1408.788;46.4810008;7.5541231;M
2024-01-07;Adelboden;1;36;0.8;STEEN OLSEN Alexander;0.84;ZENHAEUSERN Ramon;-0.039999999999999925;-4.99999999999999;SL;R;10.08;37.11;3.17;-9.74;;;;;;M
2024-01-07;Adelboden;2;36;1.6;RASCHNER Dominik;1.6;MEILLARD Loic;0.0;0.0;SL;R;9.4;21.5;2.0;-19.1;-4.9;9.2;1405.758;46.4810784;7.5542312;M
2024-01-07;Adelboden;1;37;0.42;STEEN OLSEN Alexander;0.44;ZENHAEUSERN Ramon;-0.020000000000000018;-4.761904761904766;SL;R;10.21;30.97;2.6;-12.11;;;;;;M
2024-01-07;Adelboden;2;37;0.94;RASCHNER Dominik;0.94;MEILLARD Loic;0.0;0.0;SL;R;5.3;38.6;2.2;-17.9;1.1;4.8;1402.645;46.4811532;7.5542748;M
2024-01-07;Adelboden;1;38;0.94;STEEN OLSEN Alexander;0.96;ZENHAEUSERN Ramon;-0.020000000000000018;-2.1276595744680873;SL;R;9.96;20.14;1.27;-17.02;;;;;;M
2024-01-07;Adelboden;2;38;1.02;RASCHNER Dominik;1.04;MEILLARD Loic;-0.020000000000000018;-1.960784313725492;SL;R;11.0;32.4;2.0;-14.4;3.4;10.9;1401.001;46.4811741;7.5543335;M
2024-01-07;Adelboden;1;39;0.94;STEEN OLSEN Alexander;0.94;ZENHAEUSERN Ramon;0.0;0.0;SL;R;6.23;15.83;1.01;-17.3;;;;;;M
2024-01-07;Adelboden;2;39;0.58;RASCHNER Dominik;0.54;MEILLARD Loic;0.039999999999999925;6.896551724137918;SL;R;10.3;26.9;2.4;-25.6;-11.1;10.0;1398.226;46.4811633;7.5544724;M
2024-01-07;Adelboden;1;40;0.88;STEEN OLSEN Alexander;0.86;ZENHAEUSERN Ramon;0.020000000000000018;2.2727272727272747;SL;R;10.17;52.71;4.45;-15.65;;;;;;M
2024-01-07;Adelboden;2;40;1.26;RASCHNER Dominik;1.28;MEILLARD Loic;-0.020000000000000018;-1.5873015873015885;SL;R;10.7;36.7;3.3;-18.0;7.5;10.2;1393.761;46.4811916;7.5545865;M
2024-01-07;Adelboden;1;41;1.54;STEEN OLSEN Alexander;1.48;ZENHAEUSERN Ramon;0.06000000000000005;3.8961038961038996;SL;R;10.52;23.85;1.92;-11.91;;;;;;M
2024-01-07;Adelboden;2;41;1.14;RASCHNER Dominik;1.18;MEILLARD Loic;-0.040000000000000036;-3.5087719298245648;SL;R;6.2;34.3;2.3;-25.4;-7.3;5.7;1390.435;46.4811614;7.5547122;M
2024-01-07;Adelboden;1;42;0.98;STEEN OLSEN Alexander;0.92;ZENHAEUSERN Ramon;0.05999999999999994;6.122448979591831;SL;R;8.84;50.0;2.62;-16.33;;;;;;M
2024-01-07;Adelboden;2;42;1.18;RASCHNER Dominik;1.1;MEILLARD Loic;0.07999999999999985;6.77966101694914;SL;R;10.5;36.8;2.4;-22.9;2.5;10.2;1387.761;46.4811763;7.5547823;M
2024-01-07;Adelboden;1;43;1.0;STEEN OLSEN Alexander;1.02;ZENHAEUSERN Ramon;-0.020000000000000018;-2.0000000000000018;SL;R;5.14;18.68;1.04;-15.55;;;;;;M
2024-01-07;Adelboden;2;43;1.08;RASCHNER Dominik;0.98;MEILLARD Loic;0.10000000000000009;9.259259259259267;SL;R;9.0;34.9;2.9;-32.2;-9.3;8.5;1383.654;46.4811417;7.5548986;M
2024-01-07;Adelboden;1;44;0.52;STEEN OLSEN Alexander;0.58;ZENHAEUSERN Ramon;-0.05999999999999994;-11.538461538461526;SL;R;9.47;36.05;2.73;-14.9;;;;;;M
2024-01-07;Adelboden;2;44;0.9;RASCHNER Dominik;0.96;MEILLARD Loic;-0.05999999999999994;-6.66666666666666;SL;R;10.0;43.2;3.5;-26.1;6.0;9.4;1378.822;46.4811594;7.554995;M
2024-01-07;Adelboden;1;45;1.16;STEEN OLSEN Alexander;1.24;ZENHAEUSERN Ramon;-0.08000000000000007;-6.896551724137938;SL;R;9.37;47.28;3.67;-22.49;;;;;;M
2024-01-07;Adelboden;2;45;0.86;RASCHNER Dominik;0.94;MEILLARD Loic;-0.07999999999999996;-9.302325581395344;SL;R;10.3;47.9;4.1;-30.1;-3.9;9.4;1374.392;46.4811133;7.5550917;M
2024-01-07;Adelboden;1;46;1.14;STEEN OLSEN Alexander;1.14;ZENHAEUSERN Ramon;0.0;0.0;SL;R;10.33;29.72;1.89;-16.14;;;;;;M
2024-01-07;Adelboden;2;46;1.02;RASCHNER Dominik;1.04;MEILLARD Loic;-0.020000000000000018;-1.960784313725492;SL;R;10.1;33.7;2.9;-28.4;1.6;9.7;1369.218;46.4811409;7.5552007;M
2024-01-07;Adelboden;1;47;1.16;STEEN OLSEN Alexander;1.26;ZENHAEUSERN Ramon;-0.10000000000000009;-8.620689655172423;SL;R;6.48;32.04;2.04;-22.85;;;;;;M
2024-01-07;Adelboden;2;47;0.86;RASCHNER Dominik;0.82;MEILLARD Loic;0.040000000000000036;4.651162790697678;SL;R;9.9;36.4;3.1;-29.6;-1.1;9.4;1364.361;46.481115;7.5553111;M
2024-01-07;Adelboden;1;48;1.02;STEEN OLSEN Alexander;0.88;ZENHAEUSERN Ramon;0.14;13.725490196078432;SL;R;10.64;30.76;2.47;-17.92;;;;;;M
2024-01-07;Adelboden;2;48;0.92;RASCHNER Dominik;1.0;MEILLARD Loic;-0.07999999999999996;-8.69565217391304;SL;R;10.9;38.2;3.4;-22.9;6.6;10.4;1359.453;46.4811455;7.5554145;M
2024-01-07;Adelboden;1;49;0.9;STEEN OLSEN Alexander;1.08;ZENHAEUSERN Ramon;-0.18000000000000005;-20.000000000000004;SL;R;9.94;44.18;3.34;-25.96;;;;;;M
2024-01-07;Adelboden;2;49;0.86;RASCHNER Dominik;1.02;MEILLARD Loic;-0.16000000000000003;-18.6046511627907;SL;R;10.4;41.0;3.7;-33.1;-10.1;9.7;1355.168;46.4811157;7.5555391;M
2024-01-07;Adelboden;1;50;0.92;STEEN OLSEN Alexander;1.04;ZENHAEUSERN Ramon;-0.12;-13.043478260869565;SL;R;10.16;49.72;3.42;-24.03;;;;;;M
2024-01-07;Adelboden;2;50;0.86;RASCHNER Dominik;0.92;MEILLARD Loic;-0.06000000000000005;-6.976744186046519;SL;R;10.0;45.8;4.0;-19.6;13.5;9.2;1349.44;46.4811507;7.5556416;M
2024-01-07;Adelboden;1;51;0.86;STEEN OLSEN Alexander;0.98;ZENHAEUSERN Ramon;-0.12;-13.953488372093023;SL;R;9.37;39.56;2.72;-31.76;;;;;;M
2024-01-07;Adelboden;2;51;0.48;RASCHNER Dominik;0.5;MEILLARD Loic;-0.020000000000000018;-4.1666666666666705;SL;R;11.0;34.5;3.1;-25.0;-5.4;10.5;1346.057;46.4811172;7.5557554;M
2024-01-07;Adelboden;1;52;0.48;STEEN OLSEN Alexander;0.54;ZENHAEUSERN Ramon;-0.06000000000000005;-12.50000000000001;SL;R;10.02;47.34;3.54;-25.23;;;;;;M
2024-01-07;Adelboden;2;52;1.04;RASCHNER Dominik;1.06;MEILLARD Loic;-0.020000000000000018;-1.9230769230769247;SL;R;10.5;34.1;3.1;-15.6;9.3;10.0;1341.387;46.4811388;7.5558819;M
2024-01-07;Adelboden;1;53;0.88;STEEN OLSEN Alexander;1.04;ZENHAEUSERN Ramon;-0.16000000000000003;-18.181818181818183;SL;R;10.12;38.62;2.98;-26.29;;;;;;M
2024-01-07;Adelboden;2;53;1.02;RASCHNER Dominik;0.96;MEILLARD Loic;0.06000000000000005;5.8823529411764754;SL;R;6.5;27.0;1.8;-20.3;-4.6;6.3;1338.534;46.4811055;7.5560055;M
2024-01-07;Adelboden;1;54;0.86;STEEN OLSEN Alexander;0.9;ZENHAEUSERN Ramon;-0.040000000000000036;-4.651162790697678;SL;R;10.15;30.65;1.93;-22.67;;;;;;M
2024-01-07;Adelboden;2;54;1.04;RASCHNER Dominik;1.02;MEILLARD Loic;0.020000000000000018;1.9230769230769247;SL;R;10.9;26.7;1.9;-16.2;4.1;10.8;1336.241;46.481112;7.5560855;M
2024-01-07;Adelboden;1;55;0.9;STEEN OLSEN Alexander;0.92;ZENHAEUSERN Ramon;-0.020000000000000018;-2.222222222222224;SL;R;6.7;25.19;1.58;-23.04;;;;;;M
2024-01-07;Adelboden;2;55;0.88;RASCHNER Dominik;0.82;MEILLARD Loic;0.06000000000000005;6.818181818181825;SL;R;10.9;38.3;3.6;-22.0;-5.8;10.3;1333.171;46.4810777;7.5562137;M
2024-01-07;Adelboden;1;56;0.64;STEEN OLSEN Alexander;0.64;ZENHAEUSERN Ramon;0.0;0.0;SL;R;9.85;32.84;2.55;-22.45;;;;;;M
2024-01-07;Adelboden;2;56;0.76;RASCHNER Dominik;0.74;MEILLARD Loic;0.020000000000000018;2.6315789473684235;SL;R;11.3;42.8;4.0;-17.9;4.0;10.6;1329.054;46.4811075;7.5563386;M
2024-01-07;Adelboden;1;57;0.8;STEEN OLSEN Alexander;0.86;ZENHAEUSERN Ramon;-0.05999999999999994;-7.499999999999993;SL;R;10.11;42.3;3.44;-24.09;;;;;;M
2024-01-07;Adelboden;2;57;0.4;RASCHNER Dominik;0.4;MEILLARD Loic;0.0;0.0;SL;R;10.3;42.7;3.9;-23.1;-5.1;9.5;1325.538;46.4810641;7.5564648;M
2024-01-07;Adelboden;1;58;1.02;STEEN OLSEN Alexander;1.04;ZENHAEUSERN Ramon;-0.020000000000000018;-1.960784313725492;SL;R;10.64;20.25;1.5;-17.67;;;;;;M
2024-01-07;Adelboden;2;58;0.5;RASCHNER Dominik;0.48;MEILLARD Loic;0.020000000000000018;4.0000000000000036;SL;R;9.4;37.3;3.1;-19.4;3.6;8.8;1321.491;46.481092;7.5565815;M
2024-01-07;Adelboden;1;59;0.9;STEEN OLSEN Alexander;0.94;ZENHAEUSERN Ramon;-0.039999999999999925;-4.444444444444437;SL;R;8.03;22.48;1.67;-20.61;;;;;;M
2024-01-07;Adelboden;2;59;0.86;RASCHNER Dominik;0.84;MEILLARD Loic;0.020000000000000018;2.325581395348839;SL;R;6.8;20.0;1.3;-11.3;8.1;6.6;1318.358;46.4810635;7.5566896;M
2024-01-07;Adelboden;1;60;0.46;STEEN OLSEN Alexander;0.44;ZENHAEUSERN Ramon;0.020000000000000018;4.347826086956525;SL;R;10.52;41.03;3.57;-15.11;;;;;;M
2024-01-07;Adelboden;2;60;0.68;RASCHNER Dominik;0.66;MEILLARD Loic;0.020000000000000018;2.9411764705882377;SL;R;6.6;1.2;0.0;-11.5;-0.2;6.6;1317.018;46.4810615;7.5567769;M
2024-01-07;Adelboden;1;61;0.8;STEEN OLSEN Alexander;0.82;ZENHAEUSERN Ramon;-0.019999999999999907;-2.4999999999999885;SL;R;10.82;45.67;3.98;-18.12;;;;;;M
2024-01-07;Adelboden;2;61;0.58;RASCHNER Dominik;0.58;MEILLARD Loic;0.0;0.0;SL;R;6.0;2.7;0.1;-13.3;-1.8;6.0;1315.692;46.4810583;7.5568614;M
